experiments, milliseconds
Main_Read,239
Main_Write,308
Main_Read,244
Main_Write,313
Main_Read,242
Main_Write,308
Main_Read,240
Main_Write,307
Main_Read,250
Main_Write,310
Thread_Invalidate_Read,242
Thread_Invalidate_Read,236
Thread_Invalidate_Read,248
Thread_Invalidate_Read,234
Thread_Invalidate_Read,236
Thread_Invalidate_Write,311
Thread_Invalidate_Write,329
Thread_Invalidate_Write,329
Thread_Invalidate_Write,330
Thread_Invalidate_Write,330
Thread_Invalidate_Read,241
Thread_Invalidate_Read,236
Thread_Invalidate_Read,244
Thread_Invalidate_Read,248
Thread_Invalidate_Read,242
Thread_Invalidate_Write,316
Thread_Invalidate_Write,310
Thread_Invalidate_Write,311
Thread_Invalidate_Write,308
Thread_Invalidate_Write,308
