allocator,threads,milliseconds
default,1,953
default,2,517
default,4,338
default,8,307
default,12,401
default,16,395
default,20,377
default,24,427
malloc,1,940
malloc,2,507
malloc,4,338
malloc,8,305
malloc,12,362
malloc,16,355
malloc,20,382
malloc,24,445
jemalloc,1,374
jemalloc,2,205
jemalloc,4,118
jemalloc,8,77
jemalloc,12,64
jemalloc,16,58
jemalloc,20,54
jemalloc,24,51
vmem,1,593
vmem,2,378
vmem,4,253
vmem,8,246
vmem,12,247
vmem,16,252
vmem,20,253
vmem,24,256
vmmalloc,1,672
vmmalloc,2,440
vmmalloc,4,331
vmmalloc,8,298
vmmalloc,12,295
vmmalloc,16,303
vmmalloc,20,305
vmmalloc,24,301
memkind,1,624
memkind,2,315
memkind,4,182
memkind,8,109
memkind,12,414
memkind,16,1016
memkind,20,265
memkind,24,1155
make_persistent_atomic,1,18601
make_persistent_atomic,2,9772
make_persistent_atomic,4,5139
make_persistent_atomic,8,2865
make_persistent_atomic,12,2053
make_persistent_atomic,16,1749
make_persistent_atomic,20,1459
make_persistent_atomic,24,1355
pmemobj_alloc,1,7252
pmemobj_alloc,2,4124
pmemobj_alloc,4,2434
pmemobj_alloc,8,1478
pmemobj_alloc,12,1067
pmemobj_alloc,16,973
pmemobj_alloc,20,877
pmemobj_alloc,24,814
