allocator,threads,milliseconds
default,1,953
default,2,517
default,4,338
default,8,307
default,12,401
default,16,395
default,20,377
default,24,427
malloc,1,940
malloc,2,507
malloc,4,338
malloc,8,305
malloc,12,362
malloc,16,355
malloc,20,382
malloc,24,445
vmem,1,593
vmem,2,378
vmem,4,253
vmem,8,246
vmem,12,247
vmem,16,252
vmem,20,253
vmem,24,256
vmmalloc,1,672
vmmalloc,2,440
vmmalloc,4,331
vmmalloc,8,298
vmmalloc,12,295
vmmalloc,16,303
vmmalloc,20,305
vmmalloc,24,301
memkind,1,624
memkind,2,315
memkind,4,182
memkind,8,109
memkind,12,414
memkind,16,1016
memkind,20,265
memkind,24,1155
