allocator,threads,milliseconds
default,1,1104
default,2,559
default,4,298
default,8,163
default,12,128
default,16,106
default,20,93
default,24,84
malloc,1,1113
malloc,2,566
malloc,4,299
malloc,8,165
malloc,12,126
malloc,16,106
malloc,20,91
malloc,24,81
jemalloc,1,1097
jemalloc,2,563
jemalloc,4,297
jemalloc,8,173
jemalloc,12,128
jemalloc,16,108
jemalloc,20,93
jemalloc,24,81
vmem,1,1113
vmem,2,564
vmem,4,295
vmem,8,164
vmem,12,124
vmem,16,110
vmem,20,91
vmem,24,80
vmmalloc,1,1095
vmmalloc,2,582
vmmalloc,4,293
vmmalloc,8,164
vmmalloc,12,128
vmmalloc,16,110
vmmalloc,20,93
vmmalloc,24,81
memkind,1,1103
memkind,2,561
memkind,4,294
memkind,8,164
memkind,12,132
memkind,16,106
memkind,20,90
memkind,24,79
