allocator,threads,milliseconds
default,1,298
default,2,167
default,4,111
default,8,86
default,12,82
default,16,82
default,20,82
default,24,82
malloc,1,303
malloc,2,168
malloc,4,108
malloc,8,87
malloc,12,83
malloc,16,82
malloc,20,82
malloc,24,82
jemalloc,1,686
jemalloc,2,364
jemalloc,4,201
jemalloc,8,121
jemalloc,12,98
jemalloc,16,83
jemalloc,20,71
jemalloc,24,68
vmem,1,2057
vmem,2,1233
vmem,4,768
vmem,8,546
vmem,12,572
vmem,16,607
vmem,20,619
vmem,24,640
vmmalloc,1,2135
vmmalloc,2,1281
vmmalloc,4,792
vmmalloc,8,557
vmmalloc,12,589
vmmalloc,16,619
vmmalloc,20,628
vmmalloc,24,678
memkind,1,3528
memkind,2,2061
memkind,4,1215
memkind,8,1229
memkind,12,1147
memkind,16,1122
memkind,20,1088
memkind,24,1077
