allocator,threads,milliseconds
vmem,1,2057
vmem,2,1233
vmem,4,768
vmem,8,546
vmem,12,572
vmem,16,607
vmem,20,619
vmem,24,640
vmmalloc,1,2135
vmmalloc,2,1281
vmmalloc,4,792
vmmalloc,8,557
vmmalloc,12,589
vmmalloc,16,619
vmmalloc,20,628
vmmalloc,24,678
memkind,1,3528
memkind,2,2061
memkind,4,1215
memkind,8,1229
memkind,12,1147
memkind,16,1122
memkind,20,1088
memkind,24,1077
make_persistent_atomic,1,12677
make_persistent_atomic,2,6420
make_persistent_atomic,4,3294
make_persistent_atomic,8,1847
make_persistent_atomic,12,1487
make_persistent_atomic,16,1473
make_persistent_atomic,20,1522
make_persistent_atomic,24,1667
