allocator,threads,milliseconds
default,1,927
default,2,504
default,4,308
default,8,346
default,16,388
default,24,387
default,32,577
default,40,572
default,48,609
malloc,1,892
malloc,2,509
malloc,4,293
malloc,8,295
malloc,16,392
malloc,24,393
malloc,32,535
malloc,40,588
malloc,48,643
jemalloc,1,340
jemalloc,2,195
jemalloc,4,111
jemalloc,8,69
jemalloc,16,55
jemalloc,24,49
jemalloc,32,47
jemalloc,40,45
jemalloc,48,43
vmem,1,564
vmem,2,367
vmem,4,253
vmem,8,245
vmem,16,252
vmem,24,257
vmem,32,267
vmem,40,277
vmem,48,294
vmmalloc,1,625
vmmalloc,2,435
vmmalloc,4,328
vmmalloc,8,302
vmmalloc,16,304
vmmalloc,24,306
vmmalloc,32,309
vmmalloc,40,315
vmmalloc,48,344
memkind,1,615
memkind,2,306
memkind,4,171
memkind,8,106
memkind,16,301
memkind,24,696
memkind,32,1613
memkind,40,2701
memkind,48,2537
